card_name,data
Angel of the Dawn,"{'card': 'Angel of the Dawn', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""angel's grace"", 'suggestions': ['angel of despair', 'angel of the dawn']}"
Alabaster Mage,"{'card': 'Alabaster Mage', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'all is dust', 'suggestions': ['alela, artful provocateur', 'alabaster mage']}"
Austere Command,"{'card': 'Austere Command', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'augur of autumn', 'suggestions': ['austere command']}"
Archangel of Thune,"{'card': 'Archangel of Thune', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'archive trap', 'suggestions': ['archaeological dig', 'archangel of thune']}"
Blade Splicer,"{'card': 'Blade Splicer', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'blade of the bloodchief', 'suggestions': ['blade splicer']}"
Land Tax,"{'card': 'land tax', 'colors': 'W', 'averageRound': 13, 'average': 102, 'numberAvailable': 32, 'numberTaken': 2, 'ratio': 0.0625, 'lotusScore': 4.554521276596, 'drafts': [{'card': None, 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': 'land tax', 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': 151, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': None, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': 'land tax', 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': 53, 'maxRelease': '1994-06-01T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
"Avacyn, Angel of Hope","{'card': 'Avacyn, Angel of Hope', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""avacyn's pilgrim"", 'suggestions': ['avacyn, angel of hope']}"
Crib Swap,"{'card': 'Crib Swap', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'crabomination', 'suggestions': ['crime // punishment', 'crib swap']}"
Crusader of Odric,"{'card': 'Crusader of Odric', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'crucible of worlds', 'suggestions': ['crusade', 'crusader of odric']}"
Boon Reflection,"{'card': 'Boon Reflection', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'book burning', 'suggestions': ['book burning', 'boon reflection']}"
Fortify,"{'card': 'Fortify', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'forth eorlingas!', 'suggestions': ['forth eorlingas!', 'fortify', 'fortifying draught', 'fortifying provisions']}"
Puresteel Paladin,"{'card': 'puresteel paladin', 'colors': 'W', 'averageRound': 34, 'average': 268, 'numberAvailable': 32, 'numberTaken': 1, 'ratio': 0.0313, 'lotusScore': 0.897606382979, 'drafts': [{'card': None, 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': None, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': 'puresteel paladin', 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': 268, 'maxRelease': '2011-05-13T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
Fencing Ace,"{'card': 'Fencing Ace', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'feed the swarm', 'suggestions': ['fecundity', 'fencing ace']}"
Leonin Abunas,"{'card': 'Leonin Abunas', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'leonin arbiter', 'suggestions': ['leonin arbiter', 'leonin abunas']}"
Myrsmith,"{'card': 'Myrsmith', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'myr battlesphere', 'suggestions': ['myr battlesphere', 'myrsmith']}"
Glint-Sleeve Artisan,"{'card': 'Glint-Sleeve Artisan', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'glimmervoid', 'suggestions': ['glint-sleeve siphoner', 'glint-sleeve artisan']}"
Master Splicer,"{'card': 'Master Splicer', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'master of etherium', 'suggestions': ['master of etherium', 'master splicer']}"
"Kemba, Kha Regent","{'card': 'Kemba, Kha Regent', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'keen duelist', 'suggestions': ['kederekt parasite', 'kemba, kha regent']}"
Stoneforge Mystic,"{'card': 'stoneforge mystic', 'colors': 'W', 'averageRound': 9, 'average': 69.4688, 'numberAvailable': 32, 'numberTaken': 32, 'ratio': 1, 'lotusScore': 81.524255319149, 'drafts': [{'card': 'stoneforge mystic', 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': 59, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': 54, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': 46, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': 27, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': 49, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': 32, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': 27, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': 68, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': 29, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': 32, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': 52, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': 148, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': 62, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': 26, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': 105, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': 103, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': 28, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': 73, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': 67, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 59, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': 73, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': 59, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': 71, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': 60, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': 90, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': 65, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': 92, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': 119, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': 31, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': 253, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': 152, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': 'stoneforge mystic', 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': 12, 'maxRelease': '2010-02-05T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
